"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"02.01.2018 15:00 - 02.01.2018 15:15","64408","66543"
"02.01.2018 15:15 - 02.01.2018 15:30","63355","66210"
"02.01.2018 15:30 - 02.01.2018 15:45","63238","66028"
"02.01.2018 15:45 - 02.01.2018 16:00","63039","65927"
"02.01.2018 16:00 - 02.01.2018 16:15","63467","66111"
"02.01.2018 16:15 - 02.01.2018 16:30","64208","66924"
"02.01.2018 16:30 - 02.01.2018 16:45","64783","67673"
"02.01.2018 16:45 - 02.01.2018 17:00","64350","68641"
"02.01.2018 17:00 - 02.01.2018 17:15","65071","69677"
"02.01.2018 17:15 - 02.01.2018 17:30","65134","70017"
"02.01.2018 17:30 - 02.01.2018 17:45","65620","70125"
"02.01.2018 17:45 - 02.01.2018 18:00","65377","70177"
"02.01.2018 18:00 - 02.01.2018 18:15","65166","69949"
"02.01.2018 18:15 - 02.01.2018 18:30","65267","69655"
"02.01.2018 18:30 - 02.01.2018 18:45","65119","69756"
"02.01.2018 18:45 - 02.01.2018 19:00","65174","69795"
"02.01.2018 19:00 - 02.01.2018 19:15","64756","69487"
"02.01.2018 19:15 - 02.01.2018 19:30","63978","68869"
"02.01.2018 19:30 - 02.01.2018 19:45","63455","68035"
"02.01.2018 19:45 - 02.01.2018 20:00","62929","67188"
"02.01.2018 20:00 - 02.01.2018 20:15","61736","66219"
"02.01.2018 20:15 - 02.01.2018 20:30","60223","65036"
"02.01.2018 20:30 - 02.01.2018 20:45","59715","63977"
"02.01.2018 20:45 - 02.01.2018 21:00","58934","62791"
"02.01.2018 21:00 - 02.01.2018 21:15","57888","62487"
"02.01.2018 21:15 - 02.01.2018 21:30","57414","61467"
"02.01.2018 21:30 - 02.01.2018 21:45","57313","61049"
"02.01.2018 21:45 - 02.01.2018 22:00","55990","60317"
"02.01.2018 22:00 - 02.01.2018 22:15","55818","60575"
"02.01.2018 22:15 - 02.01.2018 22:30","55151","59692"
